MEASURE,TYPE,HILO,DECS,GOAL,AVG,VISN,FACILITY,LOCATION,VALUE,SCORE,TREND,NOTES
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,1,0,VISN 01,0.37,4,0,value within 10% of aspirational goal; 1 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,1,402,"Togus, ME (VISN 01 facility 402)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,1,405,"White River Junction, VT (VISN 01 facility 405)",0.5,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,1,518,"Bedford, MA (VISN 01 facility 518)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,1,523A4,"Boston, MA (VISN 01 facility 523A4)",0.36,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,1,523A5,"Brockton, MA (VISN 01 facility 523A5)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,1,608,"Manchester, NH (VISN 01 facility 608)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,1,631,"Northampton, MA (VISN 01 facility 631)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,1,650,"Providence, RI (VISN 01 facility 650)",0.22,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,1,689,Connecticut (VISN 01 facility 689),0.58,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,2,0,VISN 02,0.23,4,0,value within 10% of aspirational goal; 2 of 4 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,2,528,Western New York (VISN 02 facility 528),0.48,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,2,528A5,"Canandaigua, NY (VISN 02 facility 528A5)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,2,528A6,"Bath, NY (VISN 02 facility 528A6)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,2,528A7,"Syracuse, NY (VISN 02 facility 528A7)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,2,528A8,"Albany, NY (VISN 02 facility 528A8)",0.15,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,3,0,VISN 03,0.16,4,0,value within 10% of aspirational goal; 1 of 6 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,3,526,"Bronx, NY (VISN 03 facility 526)",0.19,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,3,561,New Jersey (VISN 03 facility 561),0.15,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,3,620,"Hudson Valley, NY (VISN 03 facility 620)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,3,620A4,"Castle Point, NY (VISN 03 facility 620A4)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,3,630,New York Harbor (VISN 03 facility 630),0.03,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,3,630A4,New York Harbor - Brooklyn (VISN 03 facility 630A4),0.11,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,3,632,"Northport, NY (VISN 03 facility 632)",0.38,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,4,0,VISN 04,0.18,4,0,value within 10% of aspirational goal; 1 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,4,460,"Wilmington, DE (VISN 04 facility 460)",0.68,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,4,503,"Altoona, PA (VISN 04 facility 503)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,4,529,"Butler, PA (VISN 04 facility 529)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,4,540,"Clarksburg, WV (VISN 04 facility 540)",0.16,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.18,4,542,"Coatesville, PA (VISN 04 facility 542)",,0,,no data available; 
