MEASURE,TYPE,HILO,DECS,GOAL,AVG,VISN,FACILITY,LOCATION,VALUE,SCORE,TREND,NOTES
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,1,0,VISN 01,0.18,4,0,value within 10% of aspirational goal; 0 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,1,402,"Togus, ME (VISN 01 facility 402)",0.16,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,1,405,"White River Junction, VT (VISN 01 facility 405)",0.13,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,1,518,"Bedford, MA (VISN 01 facility 518)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,1,523A4,"Boston, MA (VISN 01 facility 523A4)",0.1,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,1,523A5,"Brockton, MA (VISN 01 facility 523A5)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,1,608,"Manchester, NH (VISN 01 facility 608)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,1,631,"Northampton, MA (VISN 01 facility 631)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,1,650,"Providence, RI (VISN 01 facility 650)",0.31,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,1,689,Connecticut (VISN 01 facility 689),0.25,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,2,0,VISN 02,0.02,4,0,value within 10% of aspirational goal; 3 of 4 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,2,528,Western New York (VISN 02 facility 528),0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,2,528A5,"Canandaigua, NY (VISN 02 facility 528A5)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,2,528A6,"Bath, NY (VISN 02 facility 528A6)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,2,528A7,"Syracuse, NY (VISN 02 facility 528A7)",0.06,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,2,528A8,"Albany, NY (VISN 02 facility 528A8)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,3,0,VISN 03,0.15,4,0,value within 10% of aspirational goal; 1 of 6 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,3,526,"Bronx, NY (VISN 03 facility 526)",0.2,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,3,561,New Jersey (VISN 03 facility 561),0.31,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,3,620,"Hudson Valley, NY (VISN 03 facility 620)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,3,620A4,"Castle Point, NY (VISN 03 facility 620A4)",0.45,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,3,630,New York Harbor (VISN 03 facility 630),0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,3,630A4,New York Harbor - Brooklyn (VISN 03 facility 630A4),0.08,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,3,632,"Northport, NY (VISN 03 facility 632)",0.2,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,0,VISN 04,0.19,4,0,value within 10% of aspirational goal; 6 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,460,"Wilmington, DE (VISN 04 facility 460)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,503,"Altoona, PA (VISN 04 facility 503)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,529,"Butler, PA (VISN 04 facility 529)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,540,"Clarksburg, WV (VISN 04 facility 540)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,542,"Coatesville, PA (VISN 04 facility 542)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,562,"Erie, PA (VISN 04 facility 562)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,595,"Lebanon, PA (VISN 04 facility 595)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,642,"Philadelphia, PA (VISN 04 facility 642)",0.5,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,646,"Pittsburgh, PA (VISN 04 facility 646)",0.2,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,693,"Wilkes-Barre, PA (VISN 04 facility 693)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,5,0,VISN 05,0.07,4,0,value within 10% of aspirational goal; 0 of 3 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,5,512,Maryland (VISN 05 facility 512),0.05,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,5,512A5,"Perry Point, MD (VISN 05 facility 512A5)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,5,613,"Martinsburg, WV (VISN 05 facility 613)",0.13,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,5,688,"Washington, DC (VISN 05 facility 688)",0.07,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,6,0,VISN 06,0.17,4,0,value within 10% of aspirational goal; 3 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,6,517,"Beckley, WV (VISN 06 facility 517)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,6,558,"Durham, NC (VISN 06 facility 558)",0.28,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,6,565,"Fayetteville, NC (VISN 06 facility 565)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,6,590,"Hampton, VA (VISN 06 facility 590)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,10,552,"Dayton, OH (VISN 10 facility 552)",0.09,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,11,0,VISN 11,0.1,4,0,value within 10% of aspirational goal; 5 of 7 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,11,506,"Ann Arbor, MI (VISN 11 facility 506)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,11,515,"Battle Creek, MI (VISN 11 facility 515)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,11,550,"Illiana, IL / IN (VISN 11 facility 550)",0.46,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,11,553,"Detroit, MI (VISN 11 facility 553)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,11,583,"Indianapolis, IN (VISN 11 facility 583)",0.21,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,11,610A4,Northern Indiana (VISN 11 facility 610A4),0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,11,655,"Saginaw, MI (VISN 11 facility 655)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,12,0,VISN 12,0.12,4,0,value within 10% of aspirational goal; 2 of 7 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,12,537,"Chicago, IL (VISN 12 facility 537)",0.14,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,12,556,"North Chicago, IL (VISN 12 facility 556)",0.14,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,12,578,"Hines, IL (VISN 12 facility 578)",0.1,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,12,585,"Iron Mountain, MI (VISN 12 facility 585)",0.35,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,12,607,"Madison, WI (VISN 12 facility 607)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,12,676,"Tomah, WI (VISN 12 facility 676)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,12,695,"Milwaukee, WI (VISN 12 facility 695)",0.16,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,15,0,VISN 15,0.15,4,0,value within 10% of aspirational goal; 4 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,15,589,"Kansas City, MO (VISN 15 facility 589)",0.23,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,15,589A4,"Columbia, MO (VISN 15 facility 589A4)",0.1,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,15,589A5,"Topeka, KS (VISN 15 facility 589A5)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,15,589A6,"Leavenworth, KS (VISN 15 facility 589A6)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,15,589A7,"Wichita, KS (VISN 15 facility 589A7)",0.55,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,15,657,"St. Louis, MO (VISN 15 facility 657)",0.13,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,15,657A4,"Poplar Bluff, MO (VISN 15 facility 657A4)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,15,657A5,"Marion, IL (VISN 15 facility 657A5)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,0,VISN 16,0.22,4,0,value within 10% of aspirational goal; 3 of 9 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,502,"Alexandria, LA (VISN 16 facility 502)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,520,"Gulf Coast, MS (VISN 16 facility 520)",0.35,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,564,"Fayetteville, AR (VISN 16 facility 564)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,580,"Houston, TX (VISN 16 facility 580)",0.43,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,586,"Jackson, MS (VISN 16 facility 586)",0.37,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,598,Central Arkansas (VISN 16 facility 598),0.06,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,623,"Muskogee, OK (VISN 16 facility 623)",0.09,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,629,"New Orleans, LA (VISN 16 facility 629)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,635,"Oklahoma City, OK (VISN 16 facility 635)",0.13,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,667,"Shreveport, LA (VISN 16 facility 667)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,17,0,VISN 17,0.1,4,0,value within 10% of aspirational goal; 0 of 3 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,17,549,North Texas (VISN 17 facility 549),0.07,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,17,671,South Texas (VISN 17 facility 671),0.04,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,17,674,Central Texas (VISN 17 facility 674),0.28,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,18,0,VISN 18,0.05,4,0,value within 10% of aspirational goal; 3 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,18,501,New Mexico (VISN 18 facility 501),0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,18,504,"Amarillo, TX (VISN 18 facility 504)",0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,18,519,West Texas (VISN 18 facility 519),,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,18,644,"Phoenix, AZ (VISN 18 facility 644)",0.15,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,18,649,Northern Arizona (VISN 18 facility 649),0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,18,678,Southern Arizona (VISN 18 facility 678),0.04,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,19,0,VISN 19,0.16,4,0,value within 10% of aspirational goal; 3 of 6 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,19,436,Montana (VISN 19 facility 436),0,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,19,442,"Cheyenne, WY (VISN 19 facility 442)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,19,554,Eastern Colorado (VISN 19 facility 554),0.06,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,19,575,"Grand Junction, CO (VISN 19 facility 575)",0.87,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,19,660,"Salt Lake City, UT (VISN 19 facility 660)",0.22,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,19,666,"Sheridan, WY (VISN 19 facility 666)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,20,0,VISN 20,0.05,4,0,value within 10% of aspirational goal; 2 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,20,463,Alaska (VISN 20 facility 463),,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,20,531,"Boise, ID (VISN 20 facility 531)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,20,648,"Portland, OR (VISN 20 facility 648)",0.04,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,20,653,"Roseburg, OR (VISN 20 facility 653)",0.5,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,20,663,"Puget Sound, WA (VISN 20 facility 663)",0.04,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,20,668,"Spokane, WA (VISN 20 facility 668)",0,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,20,687,"Walla Walla, WA (VISN 20 facility 687)",,0,,no data available; 
