MEASURE,TYPE,HILO,DECS,GOAL,AVG,VISN,FACILITY,LOCATION,VALUE,SCORE,TREND,NOTES
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,1,0,VISN 01,0.23,4,0,value within 10% of aspirational goal; 0 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,1,402,"Togus, ME (VISN 01 facility 402)",0.22,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,1,405,"White River Junction, VT (VISN 01 facility 405)",0.10,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,1,518,"Bedford, MA (VISN 01 facility 518)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,1,523A4,"Boston, MA (VISN 01 facility 523A4)",0.18,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,1,523A5,"Brockton, MA (VISN 01 facility 523A5)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,1,608,"Manchester, NH (VISN 01 facility 608)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,1,631,"Northampton, MA (VISN 01 facility 631)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,1,650,"Providence, RI (VISN 01 facility 650)",0.33,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,1,689,Connecticut (VISN 01 facility 689),0.35,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,2,0,VISN 02,0.23,4,0,value within 10% of aspirational goal; 0 of 4 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,2,528,Western New York (VISN 02 facility 528),0.42,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,2,528A5,"Canandaigua, NY (VISN 02 facility 528A5)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,2,528A6,"Bath, NY (VISN 02 facility 528A6)",0.46,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,2,528A7,"Syracuse, NY (VISN 02 facility 528A7)",0.04,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,2,528A8,"Albany, NY (VISN 02 facility 528A8)",0.17,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,3,0,VISN 03,0.21,4,0,value within 10% of aspirational goal; 1 of 6 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,3,526,"Bronx, NY (VISN 03 facility 526)",0.23,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,3,561,New Jersey (VISN 03 facility 561),0.17,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,3,620,"Hudson Valley, NY (VISN 03 facility 620)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,3,620A4,"Castle Point, NY (VISN 03 facility 620A4)",0.34,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,3,630,New York Harbor (VISN 03 facility 630),0.00,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,3,630A4,New York Harbor - Brooklyn (VISN 03 facility 630A4),0.23,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,3,632,"Northport, NY (VISN 03 facility 632)",0.29,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,4,0,VISN 04,0.10,4,0,value within 10% of aspirational goal; 3 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,4,460,"Wilmington, DE (VISN 04 facility 460)",0.28,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,4,503,"Altoona, PA (VISN 04 facility 503)",0.00,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,4,529,"Butler, PA (VISN 04 facility 529)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,4,540,"Clarksburg, WV (VISN 04 facility 540)",0.00,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,4,542,"Coatesville, PA (VISN 04 facility 542)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,4,562,"Erie, PA (VISN 04 facility 562)",0.00,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,4,595,"Lebanon, PA (VISN 04 facility 595)",0.17,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,4,642,"Philadelphia, PA (VISN 04 facility 642)",0.18,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,4,646,"Pittsburgh, PA (VISN 04 facility 646)",0.03,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,4,693,"Wilkes-Barre, PA (VISN 04 facility 693)",0.24,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,5,0,VISN 05,0.24,4,0,value within 10% of aspirational goal; 0 of 3 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,5,512,Maryland (VISN 05 facility 512),0.31,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,5,512A5,"Perry Point, MD (VISN 05 facility 512A5)",,0,,no data available; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,5,613,"Martinsburg, WV (VISN 05 facility 613)",0.41,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,5,688,"Washington, DC (VISN 05 facility 688)",0.13,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,6,0,VISN 06,0.22,4,0,value within 10% of aspirational goal; 1 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,6,517,"Beckley, WV (VISN 06 facility 517)",0.30,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,6,558,"Durham, NC (VISN 06 facility 558)",0.28,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,6,565,"Fayetteville, NC (VISN 06 facility 565)",0.19,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,6,590,"Hampton, VA (VISN 06 facility 590)",0.13,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,10,552,"Dayton, OH (VISN 10 facility 552)",0.06,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,11,0,VISN 11,0.36,4,0,value within 10% of aspirational goal; 3 of 7 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,11,506,"Ann Arbor, MI (VISN 11 facility 506)",0.14,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,11,515,"Battle Creek, MI (VISN 11 facility 515)",0.00,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,11,550,"Illiana, IL / IN (VISN 11 facility 550)",0.97,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,11,553,"Detroit, MI (VISN 11 facility 553)",0.19,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,11,583,"Indianapolis, IN (VISN 11 facility 583)",0.56,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,11,610A4,Northern Indiana (VISN 11 facility 610A4),0.00,5,0,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,11,655,"Saginaw, MI (VISN 11 facility 655)",0.00,5,1,value meets or exceeds aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,12,0,VISN 12,0.13,4,0,value within 10% of aspirational goal; 1 of 7 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,12,537,"Chicago, IL (VISN 12 facility 537)",0.07,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,12,556,"North Chicago, IL (VISN 12 facility 556)",0.12,4,-1,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,12,578,"Hines, IL (VISN 12 facility 578)",0.17,4,0,value within 10% of aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.1992,12,585,"Iron Mountain, MI (VISN 12 facility 585)",0.66,4,0,value within 10% of aspirational goal; 
