count_score,SCORE,MEASURE
53,0,Effectiveness - Composite acute myocardial infarction (AMI)
53,4,Effectiveness - Composite acute myocardial infarction (AMI)
18,5,Effectiveness - Composite acute myocardial infarction (AMI)
1,0,Effectiveness - Composite behavioral health screening
82,4,Effectiveness - Composite behavioral health screening
41,5,Effectiveness - Composite behavioral health screening
21,0,Effectiveness - Composite community acquired pneumonia (CAP)
71,4,Effectiveness - Composite community acquired pneumonia (CAP)
32,5,Effectiveness - Composite community acquired pneumonia (CAP)
16,0,Effectiveness - Composite heart failure
1,3,Effectiveness - Composite heart failure
86,4,Effectiveness - Composite heart failure
21,5,Effectiveness - Composite heart failure
1,0,Effectiveness - Composite tobacco
1,2,Effectiveness - Composite tobacco
13,3,Effectiveness - Composite tobacco
101,4,Effectiveness - Composite tobacco
8,5,Effectiveness - Composite tobacco
1,0,Effectiveness - Diabetes - Blood pressure less than 140/90 (dm)
1,2,Effectiveness - Diabetes - Blood pressure less than 140/90 (dm)
39,3,Effectiveness - Diabetes - Blood pressure less than 140/90 (dm)
72,4,Effectiveness - Diabetes - Blood pressure less than 140/90 (dm)
11,5,Effectiveness - Diabetes - Blood pressure less than 140/90 (dm)
1,0,Effectiveness - Diabetes - Composite diabetes
15,3,Effectiveness - Diabetes - Composite diabetes
108,4,Effectiveness - Diabetes - Composite diabetes
124,0,Effectiveness - Diabetes - HbA1 GT 9 or not done in past year
1,0,Effectiveness - Diabetes - LDL-C less than 100 (diabetes)
123,5,Effectiveness - Diabetes - LDL-C less than 100 (diabetes)
1,0,Effectiveness - Ischemic heart - Blood pressure less than 140/90 (HTN)
2,2,Effectiveness - Ischemic heart - Blood pressure less than 140/90 (HTN)
56,3,Effectiveness - Ischemic heart - Blood pressure less than 140/90 (HTN)
59,4,Effectiveness - Ischemic heart - Blood pressure less than 140/90 (HTN)
6,5,Effectiveness - Ischemic heart - Blood pressure less than 140/90 (HTN)
2,0,Effectiveness - Ischemic heart - LDL-C less than 100 (vascular dx)
122,5,Effectiveness - Ischemic heart - LDL-C less than 100 (vascular dx)
2,0,Effectiveness - Ischemic heart - LDL-C measured (vascular dx)
94,4,Effectiveness - Ischemic heart - LDL-C measured (vascular dx)
28,5,Effectiveness - Ischemic heart - LDL-C measured (vascular dx)
124,0,Effectiveness - Mortality Outcomes - AMI RSMR (see definition)
13,0,Effectiveness - Mortality Outcomes - CHF RSMR
6,1,Effectiveness - Mortality Outcomes - CHF RSMR
11,2,Effectiveness - Mortality Outcomes - CHF RSMR
13,3,Effectiveness - Mortality Outcomes - CHF RSMR
25,4,Effectiveness - Mortality Outcomes - CHF RSMR
56,5,Effectiveness - Mortality Outcomes - CHF RSMR
13,0,Effectiveness - Mortality Outcomes - Pneumonia RSMR
10,4,Effectiveness - Mortality Outcomes - Pneumonia RSMR
101,5,Effectiveness - Mortality Outcomes - Pneumonia RSMR
1,0,Effectiveness - Prevention - Obese patients offered weight mgmt
4,2,Effectiveness - Prevention - Obese patients offered weight mgmt
10,3,Effectiveness - Prevention - Obese patients offered weight mgmt
102,4,Effectiveness - Prevention - Obese patients offered weight mgmt
7,5,Effectiveness - Prevention - Obese patients offered weight mgmt
1,0,Effectiveness - Prevention - Pneumococcal pneumonia immunization
6,3,Effectiveness - Prevention - Pneumococcal pneumonia immunization
117,4,Effectiveness - Prevention - Pneumococcal pneumonia immunization
1,0,Effectiveness - Prevention - Screening for colorectal cancer
1,1,Effectiveness - Prevention - Screening for colorectal cancer
32,2,Effectiveness - Prevention - Screening for colorectal cancer
85,3,Effectiveness - Prevention - Screening for colorectal cancer
5,4,Effectiveness - Prevention - Screening for colorectal cancer
124,0,Effectiveness - Prevention - Women screened for breast cancer
124,0,Effectiveness - Prevention - Women screened for cervical cancer
14,0,Efficiency - All cause 30-day unadjusted readmission rate
21,1,Efficiency - All cause 30-day unadjusted readmission rate
24,2,Efficiency - All cause 30-day unadjusted readmission rate
27,3,Efficiency - All cause 30-day unadjusted readmission rate
16,4,Efficiency - All cause 30-day unadjusted readmission rate
22,5,Efficiency - All cause 30-day unadjusted readmission rate
124,0,Efficiency - Ambulatory Care Sensitive Conditions (ACSC)
124,0,Equity - Clinical Composite:White-Nonwhite - Behavioral Health
124,0,Equity - Clinical Composite:White-Nonwhite - Diabetes
124,0,Equity - Clinical Composite:White-Nonwhite - Ischemic Heart
124,0,Equity - Clinical Composite:White-Nonwhite - Prevention
124,0,Equity - Clinical Composite:White-Nonwhite - Tobacco
124,0,Equity - Inpatient SHEP: Male-Female - Cleanliness of Hospital Environment
124,0,Equity - Inpatient SHEP: Male-Female - Communication About Medication
124,0,Equity - Inpatient SHEP: Male-Female - Communication with Doctors
124,0,Equity - Inpatient SHEP: Male-Female - Communication with Nurses
124,0,Equity - Inpatient SHEP: Male-Female - Discharge Information
