MEASURE,TYPE,HILO,DECS,GOAL,AVG,VISN,FACILITY,LOCATION,VALUE,SCORE,TREND,NOTES
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,1,0,VISN 01,0.23,4,0,value within 10% of aspirational goal; 0 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,2,0,VISN 02,0.23,4,0,value within 10% of aspirational goal; 0 of 4 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,3,0,VISN 03,0.21,4,0,value within 10% of aspirational goal; 1 of 6 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,4,0,VISN 04,0.11,4,0,value within 10% of aspirational goal; 3 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,5,0,VISN 05,0.24,4,0,value within 10% of aspirational goal; 0 of 3 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,6,0,VISN 06,0.22,4,0,value within 10% of aspirational goal; 1 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,11,0,VISN 11,0.36,4,0,value within 10% of aspirational goal; 3 of 7 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,12,0,VISN 12,0.13,4,0,value within 10% of aspirational goal; 1 of 7 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,15,0,VISN 15,0.04,4,0,value within 10% of aspirational goal; 6 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,16,0,VISN 16,0.25,4,0,value within 10% of aspirational goal; 1 of 9 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,17,0,VISN 17,0.16,4,0,value within 10% of aspirational goal; 0 of 3 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,18,0,VISN 18,0.05,4,0,value within 10% of aspirational goal; 1 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,19,0,VISN 19,0.16,4,0,value within 10% of aspirational goal; 2 of 6 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,20,0,VISN 20,0.03,4,0,value within 10% of aspirational goal; 3 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,21,0,VISN 21,0.22,4,0,value within 10% of aspirational goal; 0 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,22,0,VISN 22,0.31,4,0,value within 10% of aspirational goal; 1 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.2033,23,0,VISN 23,0.06,4,0,value within 10% of aspirational goal; 6 of 8 facilities meet aspirational goal; 
