MEASURE,TYPE,HILO,DECS,GOAL,AVG,VISN,FACILITY,LOCATION,VALUE,SCORE,TREND,NOTES
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,1,0,VISN 01,0.18,4,0,value within 10% of aspirational goal; 0 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,2,0,VISN 02,0.02,4,0,value within 10% of aspirational goal; 3 of 4 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,3,0,VISN 03,0.15,4,0,value within 10% of aspirational goal; 1 of 6 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,4,0,VISN 04,0.19,4,0,value within 10% of aspirational goal; 6 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,5,0,VISN 05,0.07,4,0,value within 10% of aspirational goal; 0 of 3 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,6,0,VISN 06,0.17,4,0,value within 10% of aspirational goal; 3 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,11,0,VISN 11,0.1,4,0,value within 10% of aspirational goal; 5 of 7 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,12,0,VISN 12,0.12,4,0,value within 10% of aspirational goal; 2 of 7 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,15,0,VISN 15,0.15,4,0,value within 10% of aspirational goal; 4 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,16,0,VISN 16,0.22,4,0,value within 10% of aspirational goal; 3 of 9 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,17,0,VISN 17,0.1,4,0,value within 10% of aspirational goal; 0 of 3 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,18,0,VISN 18,0.05,4,0,value within 10% of aspirational goal; 3 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,19,0,VISN 19,0.16,4,0,value within 10% of aspirational goal; 3 of 6 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,20,0,VISN 20,0.05,4,0,value within 10% of aspirational goal; 2 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,21,0,VISN 21,0.18,4,0,value within 10% of aspirational goal; 0 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,22,0,VISN 22,0.25,4,0,value within 10% of aspirational goal; 1 of 5 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,23,0,VISN 23,0.13,4,0,value within 10% of aspirational goal; 3 of 8 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,7,0,VISN 07,0.06,4,0,value within 10% of aspirational goal; 4 of 7 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,8,0,VISN 08,0.22,4,0,value within 10% of aspirational goal; 1 of 7 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,9,0,VISN 09,0.12,4,0,value within 10% of aspirational goal; 2 of 7 facilities meet aspirational goal; 
Safety - Healthcare associated infections - MRSA infection rate,outcomes,lower,2,0,0.15,10,0,VISN 10,0.11,4,0,value within 10% of aspirational goal; 1 of 4 facilities meet aspirational goal; 
Safety - Healthcare associated infections - VAP infection rate,outcomes,lower,2,0,1.28,1,0,VISN 01,2.03,2,0,value within 30% of aspirational goal; 0 of 1 facilities meet aspirational goal; 
Safety - Healthcare associated infections - VAP infection rate,outcomes,lower,2,0,1.28,2,0,VISN 02,3.66,1,-1,value more than 30% away from aspirational goal; 1 of 1 facilities meet aspirational goal; 
Safety - Healthcare associated infections - VAP infection rate,outcomes,lower,2,0,1.28,3,0,VISN 03,2.21,2,-1,value within 30% of aspirational goal; 0 of 1 facilities meet aspirational goal; 
